GQOf,bm-x2zlsd8o,"[21, 23, 2835]",
l1PG,EV7gJyh9CHk,"[36, 48, 582, 1217]","[{'text': 'hello youtube and today i will be', 'start': 0.0, 'duration': 6.41}, {'text': 'showing you how to mod nazi zombies', 'start': 2.52, 'duration': 6.51}, {'text': 'oncology ward of Ward and you will be', 'start': 6.41, 'duration': 4.87}, {'text': 'able to get no clip which is like God', 'start': 9.03, 'duration': 6.63}, {'text': 'and like fly around ok so what you will', 'start': 11.28, 'duration': 12.6}, {'text': 'need is a text editor Modio explorer or', 'start': 15.66, 'duration': 12.35}, {'text': ""an export and that's all you really need"", 'start': 23.88, 'duration': 8.57}, {'text': 'now what you need is need to open up', 'start': 28.01, 'duration': 13.979}, {'text': 'explore you need to go to drive', 'start': 32.45, 'duration': 9.539}, {'text': 'open', 'start': 42.43, 'duration': 7.72}, {'text': 'our driver memory die and you wanna go', 'start': 44.24, 'duration': 10.56}, {'text': 'to parson 3 content and your profiles', 'start': 50.15, 'duration': 6.18}, {'text': 'play the one with the most games in it', 'start': 54.8, 'duration': 5.75}, {'text': 'mind system now you want to find FF II', 'start': 56.33, 'duration': 12.6}, {'text': 'or whatever it is mine is that FF e07 d1', 'start': 60.55, 'duration': 12.4}, {'text': ""line double click on it then you'll see"", 'start': 68.93, 'duration': 7.799}, {'text': ""00 1000 whatever don't click on that and"", 'start': 72.95, 'duration': 7.23}, {'text': ""you'll see a fire file up here you want"", 'start': 76.729, 'duration': 8.511}, {'text': 'to click and drag onto your desktop', 'start': 80.18, 'duration': 5.06}, {'text': ""ok so there's my fine I'm gonna bring it"", 'start': 88.42, 'duration': 5.85}, {'text': ""right here cuz I'm kind of organized all"", 'start': 91.9, 'duration': 6.87}, {'text': 'right now you want to minimize this go', 'start': 94.27, 'duration': 8.959}, {'text': 'to Exeter', 'start': 98.77, 'duration': 4.459}, {'text': 'you want to click and drag this annex', 'start': 103.95, 'duration': 8.39}, {'text': 'and then you want to click search fine', 'start': 107.96, 'duration': 10.509}, {'text': 'then you want to type in button just', 'start': 112.34, 'duration': 17.709}, {'text': 'config yeah you want to click OK and', 'start': 118.469, 'duration': 13.591}, {'text': ""you'll see it right here and buttons"", 'start': 130.049, 'duration': 5.101}, {'text': 'config and we want to click right after', 'start': 132.06, 'duration': 5.7}, {'text': 'this pasta feet on buttons default and', 'start': 135.15, 'duration': 14.91}, {'text': 'type in screenshot so you screenshot', 'start': 137.76, 'duration': 14.85}, {'text': 'then you want to put spaces until the', 'start': 150.06, 'duration': 5.13}, {'text': ""next ' which is probably about five one"", 'start': 152.61, 'duration': 6.629}, {'text': ""two three four or five then you're going"", 'start': 155.19, 'duration': 9.859}, {'text': 'to go up and click on search find again', 'start': 159.239, 'duration': 9.691}, {'text': ""here we go back you'll see it and click"", 'start': 165.049, 'duration': 7.541}, {'text': 'on buttons default right for the B type', 'start': 168.93, 'duration': 10.529}, {'text': 'in your screenshot in SC and SH dhoti', 'start': 172.59, 'duration': 9.69}, {'text': 'and then five spaces or until you hit', 'start': 179.459, 'duration': 7.141}, {'text': ""that next ' one two three four five same"", 'start': 182.28, 'duration': 10.789}, {'text': 'thing search find again', 'start': 186.6, 'duration': 6.469}, {'text': 'and', 'start': 193.58, 'duration': 6.92}, {'text': 'right there and tighten screenshot SC', 'start': 195.94, 'duration': 12.3}, {'text': 'are in SCH 0 T 1 2 3 4 or 5 and you go', 'start': 200.5, 'duration': 10.05}, {'text': ""back to search and it'll probably pop up"", 'start': 208.24, 'duration': 5.34}, {'text': ""because it's a third time search find"", 'start': 210.55, 'duration': 5.16}, {'text': ""them in if it says something like can't"", 'start': 213.58, 'duration': 5.07}, {'text': 'find buttons config you click OK and', 'start': 215.71, 'duration': 5.31}, {'text': ""then you're done but you want to click"", 'start': 218.65, 'duration': 6.96}, {'text': 'the Save like you get a file save and', 'start': 221.02, 'duration': 8.22}, {'text': 'you want to X out then you want to open', 'start': 225.61, 'duration': 8.42}, {'text': 'up modio or Madhya whatever you call it', 'start': 229.24, 'duration': 4.79}, {'text': 'nice light load', 'start': 235.71, 'duration': 3.36}, {'text': 'right', 'start': 252.12, 'duration': 2.63}, {'text': ""now you have it is we won do here's"", 'start': 255.15, 'duration': 5.429}, {'text': 'profile I decided you want to click and', 'start': 258.63, 'duration': 6.9}, {'text': ""drag it into here there we go there's my"", 'start': 260.579, 'duration': 7.231}, {'text': 'profile and you want to just click', 'start': 265.53, 'duration': 5.58}, {'text': ""rehash and resign else ever hear you're"", 'start': 267.81, 'duration': 5.329}, {'text': ""right house 3 silent and I'll say Xbox"", 'start': 271.11, 'duration': 8.94}, {'text': 'and you want to exhale exhale hmm you', 'start': 273.139, 'duration': 11.891}, {'text': 'want to open up explore well actually I', 'start': 280.05, 'duration': 7.23}, {'text': ""already have it opened up so let's way"", 'start': 285.03, 'duration': 8.88}, {'text': 'down here now here it is same thing', 'start': 287.28, 'duration': 9.93}, {'text': 'getting your parson 3 content and then', 'start': 293.91, 'duration': 7.71}, {'text': ""your profile than FF II 00 and here's"", 'start': 297.21, 'duration': 6.72}, {'text': 'profile and you want to right click on', 'start': 301.62, 'duration': 5.31}, {'text': 'it insert file you want to look for your', 'start': 303.93, 'duration': 8.959}, {'text': 'file which which is right here', 'start': 306.93, 'duration': 5.959}, {'text': 'and you want to click yes to override it', 'start': 312.91, 'duration': 7.28}, {'text': 'or come up as a little box and inserting', 'start': 316.08, 'duration': 11.68}, {'text': ""and then you're done now now what you"", 'start': 320.19, 'duration': 10.48}, {'text': 'want to do is you want to turn your xbox', 'start': 327.76, 'duration': 4.71}, {'text': 'light before you turn it on and take out', 'start': 330.67, 'duration': 3.9}, {'text': 'your wireless connection connector or', 'start': 332.47, 'duration': 7.2}, {'text': 'ethernet cable and then you want to make', 'start': 334.57, 'duration': 8.04}, {'text': 'sure the updates are not on you want to', 'start': 339.67, 'duration': 7.2}, {'text': 'go to Xbox Guide button system info or', 'start': 342.61, 'duration': 6.66}, {'text': ""sit yeah system and then you're going to"", 'start': 346.87, 'duration': 5.04}, {'text': 'go to your memory and then you just want', 'start': 349.27, 'duration': 5.49}, {'text': 'to go to you press Y on your hard drive', 'start': 351.91, 'duration': 6.33}, {'text': ""or memory card and then you'll say clear"", 'start': 354.76, 'duration': 6.36}, {'text': 'cache a system you do you press a on', 'start': 358.24, 'duration': 4.68}, {'text': 'that just say are you sure and you say', 'start': 361.12, 'duration': 4.47}, {'text': ""yes and then it'll delete all the"", 'start': 362.92, 'duration': 7.11}, {'text': 'updates on your profile and then you', 'start': 365.59, 'duration': 6.24}, {'text': 'start up call of duty world at war and', 'start': 370.03, 'duration': 4.71}, {'text': 'then you go to solo re soon game and', 'start': 371.83, 'duration': 5.58}, {'text': ""then I'll put all the buttons in the"", 'start': 374.74, 'duration': 4.92}, {'text': ""description but I'll tell you now what"", 'start': 377.41, 'duration': 6.05}, {'text': 'are they are why is to go into new clip', 'start': 379.66, 'duration': 9.87}, {'text': 'X is to reset it a is a zoom in B is', 'start': 383.46, 'duration': 10.63}, {'text': 'just show your gun or not press down on', 'start': 389.53, 'duration': 9.09}, {'text': 'the d-pad to slow motion and if you', 'start': 394.09, 'duration': 6.15}, {'text': 'press the X button and you reset it all', 'start': 398.62, 'duration': 3.89}, {'text': 'you gotta do is press Start options and', 'start': 400.24, 'duration': 5.49}, {'text': ""then it'll be back to normal and then"", 'start': 402.51, 'duration': 4.54}, {'text': ""you press Y and you're getting it again"", 'start': 405.73, 'duration': 5.43}, {'text': ""and that's pretty much it oh and you"", 'start': 407.05, 'duration': 5.7}, {'text': ""don't have to press resume game you"", 'start': 411.16, 'duration': 4.17}, {'text': 'could press any map you want any level', 'start': 412.75, 'duration': 6.78}, {'text': ""but this only is for call d5 and that's"", 'start': 415.33, 'duration': 7.79}, {'text': 'it so thanks subscribe', 'start': 419.53, 'duration': 3.59}]"
fqPG,EkmM2veaMqA,[16],
RoPG,Ek0PrDAFhHI,"[0, 1, 19, 48, 177, 258, 691, 1355, 2816]",
NCPG,yP4PTW2x6rI,"[0, 12]",
uSPG,,[61],
0fPG,,"[1, 105, 245, 424, 590]",
XAPG,NYYMA4eEOwY,"[4, 10, 34]",
hePG,N_nkeCtWC-g,"[657, 677, 920]",
bpSu,Hq_Oin739K4,"[4, 9, 10, 34]",
ATSu,,"[26, 130]",
xwSu,MUXkIyqromg,"[36, 94]",
a5Su,MX3MUcfartE,"[0, 1, 105, 150, 192, 331, 455]","[{'text': ""what's up YouTube dopes 1092 here and"", 'start': 3.45, 'duration': 6.569}, {'text': ""I'm just making this video about then"", 'start': 6.3, 'duration': 6.169}, {'text': ""you give away I'm going to be doing I"", 'start': 10.019, 'duration': 5.641}, {'text': 'recently designed a website called dopes', 'start': 12.469, 'duration': 6.191}, {'text': ""nation com it's a new gaming community"", 'start': 15.66, 'duration': 6.3}, {'text': ""website and I've been having a hard time"", 'start': 18.66, 'duration': 5.52}, {'text': 'promoting it and getting publicity and', 'start': 21.96, 'duration': 4.95}, {'text': 'people to join so I decided you know to', 'start': 24.18, 'duration': 5.13}, {'text': 'kick it off I might as well just do a', 'start': 26.91, 'duration': 5.189}, {'text': 'giveaway so what I decided to do is that', 'start': 29.31, 'duration': 8.28}, {'text': 'on when i get 1000 members 1000 members', 'start': 32.099, 'duration': 8.011}, {'text': 'app to join my website you know it', 'start': 37.59, 'duration': 3.87}, {'text': ""doesn't cost me like that i just gotta"", 'start': 40.11, 'duration': 3.24}, {'text': ""make a username and a password that's"", 'start': 41.46, 'duration': 4.35}, {'text': 'really about it but all the thousands', 'start': 43.35, 'duration': 3.84}, {'text': ""member i'm going to be doing a drawing"", 'start': 45.81, 'duration': 4.08}, {'text': 'and the winner of the drawing will be', 'start': 47.19, 'duration': 6.81}, {'text': 'receiving this jtag right here alright', 'start': 49.89, 'duration': 6.84}, {'text': 'so let me show you shake rufina is an', 'start': 54.0, 'duration': 5.34}, {'text': ""actual jtag i'm actually gonna just cut"", 'start': 56.73, 'duration': 7.8}, {'text': 'in with my um my hog podge so that my HD', 'start': 59.34, 'duration': 6.599}, {'text': 'PVR so that you can see it better', 'start': 64.53, 'duration': 2.79}, {'text': ""because it's shitty quality with the"", 'start': 65.939, 'duration': 4.261}, {'text': 'foot camp alright so here we are on the', 'start': 67.32, 'duration': 7.049}, {'text': 'xbox 360 recorded a couple random things', 'start': 70.2, 'duration': 6.599}, {'text': 'just recorded a modern warfare 2 patch', 'start': 74.369, 'duration': 5.161}, {'text': 'and then a little game mana genesis', 'start': 76.799, 'duration': 5.18}, {'text': 'emulator a secret agenda emulator so', 'start': 79.53, 'duration': 6.589}, {'text': ""i'll let that run through for you um a"", 'start': 81.979, 'duration': 6.041}, {'text': 'little bit more about my website', 'start': 86.119, 'duration': 5.38}, {'text': 'donation com excited to gaming community', 'start': 88.02, 'duration': 6.33}, {'text': 'for hacking modding and also not even', 'start': 91.499, 'duration': 4.11}, {'text': ""just that it's you know for hardcore"", 'start': 94.35, 'duration': 3.119}, {'text': 'gamers to you can just go there and show', 'start': 95.609, 'duration': 5.04}, {'text': 'off their shit so I mean you got that', 'start': 97.469, 'duration': 4.67}, {'text': ""going on right there in the forum's"", 'start': 100.649, 'duration': 4.621}, {'text': 'working on building a shop on there to', 'start': 102.139, 'duration': 6.55}, {'text': 'sell things like movie jtags and red', 'start': 105.27, 'duration': 5.0}, {'text': ""ring of death of Perry's I'm working on"", 'start': 108.689, 'duration': 4.47}, {'text': ""actually purchasing a machine that I'll"", 'start': 110.27, 'duration': 4.419}, {'text': 'actually be able to do reballing with', 'start': 113.159, 'duration': 6.151}, {'text': 'for Alec ps3s and xboxes as well maybe', 'start': 114.689, 'duration': 6.54}, {'text': ""i'll i can offer you a jtagging service"", 'start': 119.31, 'duration': 4.769}, {'text': ""on there and it's all things like I know"", 'start': 121.229, 'duration': 4.831}, {'text': 'case mods I could do things like that so', 'start': 124.079, 'duration': 3.24}, {'text': ""you know like I said it's a"", 'start': 126.06, 'duration': 3.149}, {'text': ""work-in-progress it's a fairly new"", 'start': 127.319, 'duration': 4.5}, {'text': 'website but I could feel free to check', 'start': 129.209, 'duration': 4.801}, {'text': 'it out you know like so log in obviously', 'start': 131.819, 'duration': 3.931}, {'text': 'and become a member so', 'start': 134.01, 'duration': 5.88}, {'text': ""you're not eligible to win a jtag but"", 'start': 135.75, 'duration': 6.57}, {'text': ""I'm also you know your opinion matters"", 'start': 139.89, 'duration': 4.14}, {'text': ""to me so if there's anything you feel I"", 'start': 142.32, 'duration': 3.24}, {'text': 'could do your change to make it better', 'start': 144.03, 'duration': 3.96}, {'text': 'more enjoyable for you know you the', 'start': 145.56, 'duration': 3.93}, {'text': 'gamer feel free to just leave me a', 'start': 147.99, 'duration': 3.06}, {'text': ""comment or send me an email and i'll"", 'start': 149.49, 'duration': 3.93}, {'text': 'definitely taking the consideration any', 'start': 151.05, 'duration': 12.6}, {'text': 'and all opinions and suggestions so team', 'start': 153.42, 'duration': 15.44}, {'text': 'deathmatch show no mercy', 'start': 163.65, 'duration': 5.21}, {'text': 'risking the rest of the video', 'start': 175.959, 'duration': 4.621}, {'text': 'I know that we are young and I know that', 'start': 213.69, 'duration': 29.64}, {'text': ""you may love me but I just can't be with"", 'start': 240.51, 'duration': 5.45}, {'text': 'you like this', 'start': 243.33, 'duration': 2.63}, {'text': 'Oh', 'start': 264.45, 'duration': 2.03}, {'text': 'see ya video pretty much been and', 'start': 349.829, 'duration': 6.4}, {'text': ""shortly she's not know what I wanted and"", 'start': 352.659, 'duration': 7.05}, {'text': 'in there was that uh no um please join', 'start': 356.229, 'duration': 5.46}, {'text': ""up because the only thing really that's"", 'start': 359.709, 'duration': 3.901}, {'text': 'going to make or break this website is', 'start': 361.689, 'duration': 4.56}, {'text': 'you the gamer it needs the community', 'start': 363.61, 'duration': 4.319}, {'text': ""that's what it's for you down and"", 'start': 366.249, 'duration': 3.51}, {'text': 'without without its members what is it I', 'start': 367.929, 'duration': 4.11}, {'text': ""don't you know playing this website so"", 'start': 369.759, 'duration': 4.38}, {'text': ""please join you know I'd add to the"", 'start': 372.039, 'duration': 3.9}, {'text': ""forums really that's how you can help to"", 'start': 374.139, 'duration': 4.32}, {'text': 'donate you know back to the website is', 'start': 375.939, 'duration': 7.22}, {'text': 'just by adding and becoming a member so', 'start': 378.459, 'duration': 4.7}, {'text': 'all right well good luck to all of you', 'start': 385.709, 'duration': 5.14}, {'text': ""and you know hopefully you're the lucky"", 'start': 388.239, 'duration': 4.561}, {'text': 'one to win the jtag xbox and now you', 'start': 390.849, 'duration': 3.84}, {'text': 'will know like I said with a matter of a', 'start': 392.8, 'duration': 4.199}, {'text': 'few days at the most of the thousand', 'start': 394.689, 'duration': 4.64}, {'text': 'member', 'start': 396.999, 'duration': 2.33}]"
